mes_año,Año,Mes,Valor,Incremento %
2017-01,2017,1,16.24,
2017-02,2017,2,15.88,-2.22
2017-03,2017,3,15.58,-1.89
2017-04,2017,4,15.59,0.06
2017-05,2017,5,15.99,2.57
2017-06,2017,6,16.44,2.81
2017-07,2017,7,17.65,7.36
2017-08,2017,8,17.83,1.02
2017-09,2017,9,17.51,-1.79
2017-10,2017,10,17.7,1.09
2017-11,2017,11,17.56,-0.79
2017-12,2017,12,18.88,7.52
2018-01,2018,1,19.55,3.55
2018-02,2018,2,19.95,2.05
2018-03,2018,3,20.36,2.06
2018-04,2018,4,20.6,1.18
2018-05,2018,5,25.17,22.18
2018-06,2018,6,28.4,12.83
2018-07,2018,7,27.45,-3.35
2018-08,2018,8,36.0,31.15
2018-09,2018,9,39.3,9.17
2018-10,2018,10,34.5,-12.21
2018-11,2018,11,36.0,4.35
2018-12,2018,12,38.5,6.94
2019-01,2019,1,35.5,-7.79
2019-02,2019,2,38.8,9.3
2019-03,2019,3,42.65,9.92
2019-04,2019,4,45.0,5.51
2019-05,2019,5,44.5,-1.11
2019-06,2019,6,42.3,-4.94
2019-07,2019,7,43.7,3.31
2019-08,2019,8,60.0,37.3
2019-09,2019,9,58.25,-2.92
2019-10,2019,10,66.0,13.3
2019-11,2019,11,66.25,0.38
2019-12,2019,12,73.5,10.94
2020-01,2020,1,74.0,0.68
2020-02,2020,2,74.5,0.68
2020-03,2020,3,78.5,5.37
2020-04,2020,4,108.0,37.58
2020-05,2020,5,115.0,6.48
2020-06,2020,6,116.0,0.87
2020-07,2020,7,131.0,12.93
2020-08,2020,8,131.0,0.0
2020-09,2020,9,140.0,6.87
2020-10,2020,10,163.0,16.43
2020-11,2020,11,149.0,-8.59
2020-12,2020,12,160.0,7.38
2021-01,2021,1,148.0,-7.5
2021-02,2021,2,141.0,-4.73
2021-03,2021,3,136.0,-3.55
2021-04,2021,4,145.0,6.62
2021-05,2021,5,152.0,4.83
2021-06,2021,6,163.0,7.24
2021-07,2021,7,175.5,7.67
2021-08,2021,8,176.5,0.57
2021-09,2021,9,182.0,3.12
2021-10,2021,10,193.5,6.32
2021-11,2021,11,197.5,2.07
2021-12,2021,12,204.0,3.29
2022-01,2022,1,209.0,2.45
2022-02,2022,2,207.0,-0.96
2022-03,2022,3,196.0,-5.31
2022-04,2022,4,196.5,0.26
2022-05,2022,5,201.0,2.29
2022-06,2022,6,234.0,16.42
2022-07,2022,7,286.0,22.22
2022-08,2022,8,285.0,-0.35
2022-09,2022,9,284.0,-0.35
2022-10,2022,10,286.0,0.7
2022-11,2022,11,310.0,8.39
2022-12,2022,12,342.0,10.32
2023-01,2023,1,379.0,10.82
2023-02,2023,2,373.0,-1.58
2023-03,2023,3,388.0,4.02
2023-04,2023,4,462.0,19.07
2023-05,2023,5,485.0,4.98
