mes_año,Año,Mes,Valor,Inflacion acumulada %,Inflacion acumulada % prod
2017-01,2017,1,0.02,0.02,2.0000000000000018
2017-02,2017,2,0.02,0.04,4.039999999999999
2017-03,2017,3,0.02,0.06,6.120799999999993
2017-04,2017,4,0.03,0.09,9.304424000000001
2017-05,2017,5,0.01,0.09999999999999999,10.397468240000007
2017-06,2017,6,0.01,0.10999999999999999,11.501442922400006
2017-07,2017,7,0.02,0.12999999999999998,13.731471780848015
2017-08,2017,8,0.01,0.13999999999999999,14.868786498656505
2017-09,2017,9,0.02,0.15999999999999998,17.166162228629634
2017-10,2017,10,0.02,0.17999999999999997,19.509485473202236
2017-11,2017,11,0.01,0.18999999999999997,20.704580327934252
2017-12,2017,12,0.03,0.21999999999999997,24.32571773777228
2018-01,2018,1,0.02,0.23999999999999996,26.812232092527722
2018-02,2018,2,0.02,0.25999999999999995,29.34847673437828
2018-03,2018,3,0.02,0.27999999999999997,31.93544626906586
2018-04,2018,4,0.03,0.30999999999999994,35.89350965713785
2018-05,2018,5,0.02,0.32999999999999996,38.6113798502806
2018-06,2018,6,0.04,0.36999999999999994,44.155835044291834
2018-07,2018,7,0.03,0.3999999999999999,48.4805100956206
2018-08,2018,8,0.04,0.4399999999999999,54.41973049944542
2018-09,2018,9,0.07,0.5099999999999999,65.2291116344066
2018-10,2018,10,0.05,0.5599999999999999,73.49056721612695
2018-11,2018,11,0.03,0.59,78.69528423261076
2018-12,2018,12,0.03,0.62,84.05614275958908
2019-01,2019,1,0.03,0.65,89.57782704237675
2019-02,2019,2,0.04,0.6900000000000001,97.16094012407184
2019-03,2019,3,0.05,0.7400000000000001,107.01898713027545
2019-04,2019,4,0.03,0.7700000000000001,113.22955674418371
2019-05,2019,5,0.03,0.8000000000000002,119.62644344650921
2019-06,2019,6,0.03,0.8300000000000002,126.21523674990449
2019-07,2019,7,0.02,0.8500000000000002,130.7395414849026
2019-08,2019,8,0.04,0.8900000000000002,139.9691231442987
2019-09,2019,9,0.06,0.9500000000000002,154.36727053295664
2019-10,2019,10,0.03,0.9800000000000002,161.99828864894533
2019-11,2019,11,0.04,1.0200000000000002,172.47822019490314
2019-12,2019,12,0.04,1.0600000000000003,183.3773490026993
2020-01,2020,1,0.02,1.0800000000000003,189.0448959827533
2020-02,2020,2,0.02,1.1000000000000003,194.82579390240838
2020-03,2020,3,0.03,1.1300000000000003,203.67056771948063
2020-04,2020,4,0.02,1.1500000000000004,209.74397907387026
2020-05,2020,5,0.02,1.1700000000000004,215.93885865534767
2020-06,2020,6,0.02,1.1900000000000004,222.25763582845462
2020-07,2020,7,0.02,1.2100000000000004,228.70278854502374
2020-08,2020,8,0.03,1.2400000000000004,238.56387220137444
2020-09,2020,9,0.03,1.2700000000000005,248.7207883674157
2020-10,2020,10,0.04,1.3100000000000005,262.66961990211234
2020-11,2020,11,0.03,1.3400000000000005,273.5497084991757
2020-12,2020,12,0.04,1.3800000000000006,288.4916968391428
2021-01,2021,1,0.04,1.4200000000000006,304.03136471270847
2021-02,2021,2,0.04,1.4600000000000006,320.19261930121684
2021-03,2021,3,0.05,1.5100000000000007,341.20225026627764
2021-04,2021,4,0.04,1.5500000000000007,358.85034027692876
2021-05,2021,5,0.03,1.5800000000000007,372.6158504852366
2021-06,2021,6,0.03,1.6100000000000008,386.7943259997937
2021-07,2021,7,0.03,1.6400000000000008,401.39815577978754
2021-08,2021,8,0.02,1.6600000000000008,411.4261188953833
2021-09,2021,9,0.04,1.7000000000000008,431.88316365119863
2021-10,2021,10,0.04,1.7400000000000009,453.15849019724664
2021-11,2021,11,0.03,1.770000000000001,469.753244903164
2021-12,2021,12,0.04,1.810000000000001,492.54337469929055
2022-01,2022,1,0.04,1.850000000000001,516.2451096872621
2022-02,2022,2,0.05,1.900000000000001,547.0573651716253
2022-03,2022,3,0.07,1.970000000000001,592.3513807336392
2022-04,2022,4,0.06,2.030000000000001,633.8924635776575
2022-05,2022,5,0.05,2.080000000000001,670.5870867565404
2022-06,2022,6,0.05,2.130000000000001,709.1164410943675
2022-07,2022,7,0.07,2.2000000000000006,765.7545919709733
2022-08,2022,8,0.07,2.2700000000000005,826.3574134089415
2022-09,2022,9,0.06,2.3300000000000005,881.9388582134782
2022-10,2022,10,0.06,2.3900000000000006,940.855189706287
2022-11,2022,11,0.05,2.4400000000000004,992.8979491916014
2022-12,2022,12,0.05,2.49,1047.5428466511814
2023-01,2023,1,0.06,2.5500000000000003,1116.3954174502526
2023-02,2023,2,0.07,2.62,1201.5430966717702
2023-03,2023,3,0.08,2.7,1305.6665444055118
2023-04,2023,4,0.08,2.7800000000000002,1418.119867957953
